name_of_dish,ingredients,preparation_time,cooking_time,course,cuisine_state,method,url,flavour_type
Upma,"semolina, onion, green chilli, ginger, mustard seeds, curry leaves, peanuts, water, oil, salt",5 minutes,15 minutes,Breakfast,Tamil Nadu,"Roast semolina lightly. | Heat oil, add mustard seeds, curry leaves and peanuts. | Saut̩ onion, ginger and green chilli. | Add water and bring to boil. | Add semolina gradually and stir. | Cook until water is absorbed. | Serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/04/upma-recipe.jpg,Savory & Mild
Pongal,"rice, moong dal, black pepper, cumin, ginger, ghee, cashews, curry leaves, salt",5 minutes,25 minutes,Breakfast,Tamil Nadu,"Cook rice and moong dal together until mushy. | Heat ghee and add pepper, cumin, ginger and cashews. | Add curry leaves and temper. | Mix tempering into pongal. | Serve hot with sambar and chutney.",https://www.vegrecipesofindia.com/wp-content/uploads/2012/04/khara-pongal-recipe-500x500.jpg,Peppery & Savory
Appe,"dosa batter, onion, carrot, green chilli, mustard seeds, curry leaves, oil, salt",10 minutes,15 minutes,Breakfast,Karnataka,"Use leftover dosa batter or prepare fresh. | Add finely chopped onion, curry leaves and mustard seeds. | Heat appe pan and add a drop of oil in each mould. | Pour batter into each mould until three-quarters full. | Cook covered on medium heat for 3 minutes. | Flip using a skewer and cook other side. | Serve hot with coconut chutney.",https://www.vegrecipesofindia.com/wp-content/uploads/2013/02/appe-recipe-500x500.jpg,Crispy & Savory
Pesarattu,"green moong dal, ginger, green chilli, cumin, onion, oil, salt",6 hours (soaking),15 minutes,Breakfast,Andhra Pradesh,"Soak moong dal and grind with ginger, chilli and cumin. | Spread thin on hot tawa. | Add onion on top and press lightly. | Drizzle oil and cook until crisp. | Serve hot with ginger chutney.",https://www.vegrecipesofindia.com/wp-content/uploads/2012/02/pesarattu-recipe-1.jpg,Crispy & Mild
Uttapam,"dosa batter, onion, tomato, green chilli, carrot, coriander, oil, salt",5 minutes,10 minutes,Breakfast,Tamil Nadu,"Pour thick batter on hot tawa. | Spread vegetables evenly on top. | Drizzle oil around edges. | Cook until bottom is set, then flip. | Cook other side and serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/05/uttapam-recipe.jpg,Soft & Savory
Akki Roti,"rice flour, onion, green chilli, grated coconut, coriander leaves, carrot, oil, salt",15 minutes,15 minutes,Breakfast,Karnataka,"Mix rice flour with chopped vegetables, coconut, coriander and salt. | Add water to form soft dough. | Pat onto greased tawa. | Cook on medium heat with oil until golden on both sides. | Serve hot with chutney.",https://www.vegrecipesofindia.com/wp-content/uploads/2014/10/akki-roti-recipe.jpg,Crispy & Mild
Thalipeeth,"jowar flour, bajra flour, besan, rice flour, onion, green chilli, coriander, oil, salt",15 minutes,15 minutes,Breakfast,Maharashtra,"Mix all flours with chopped onion, chilli, coriander and salt. | Add water to form soft dough. | Pat thin on hot tawa. | Make holes and pour oil. | Cook until crisp on both sides. | Serve hot with curd.",https://www.vegrecipesofindia.com/wp-content/uploads/2014/10/thalipeeth-recipe.jpg,Spiced & Savory
Misal Pav,"sprouted moth beans, onion, tomato, coconut, tamarind, kolhapuri masala, pav buns, farsan, oil, salt",15 minutes,30 minutes,Breakfast,Maharashtra,"Cook sprouted moth beans. | Prepare spicy gravy with coconut, tamarind and kolhapuri masala. | Add cooked beans and simmer. | Serve hot topped with farsan and onion with buttered pav.",https://www.vegrecipesofindia.com/wp-content/uploads/2014/07/misal-pav-recipe-500x500.jpg,Spicy & Tangy
Kanda Poha,"flattened rice, onion, potato, peanuts, mustard seeds, turmeric, lemon juice, oil, salt",10 minutes,15 minutes,Breakfast,Maharashtra,"Wash poha and drain, sprinkling with a little water to soften. | Heat oil and add mustard seeds until they pop. | Add curry leaves and green chilli. | Add sliced onions and cook until translucent. | Add turmeric and salt and mix. | Add softened poha and toss gently. | Squeeze lemon and garnish with coriander before serving.",https://www.vegrecipesofindia.com/wp-content/uploads/2013/05/poha-recipe-500x500.jpg,Mild & Savory
Besan Chilla,"besan, onion, green chilli, ginger, coriander, turmeric, ajwain, oil, salt",10 minutes,15 minutes,Breakfast,North Indian,"Make a smooth batter with besan, water and spices. | Add finely chopped onion, tomato, coriander and green chilli. | Season with cumin, turmeric and salt. | Heat a non-stick tawa and grease lightly. | Pour a ladleful of batter and spread thin. | Drizzle oil around edges and cook until golden. | Flip and cook briefly then serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/04/besan-chilla-recipe.jpg,Spiced & Savory
Moong Dal Chilla,"moong dal, ginger, green chilli, cumin, onion, coriander, oil, salt",4 hours (soaking),15 minutes,Breakfast,North Indian,"Soak moong dal and grind to batter. | Add ginger, chilli, cumin, onion and coriander. | Spread thin on hot tawa. | Drizzle oil and cook until crisp. | Serve with green chutney.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/05/moong-dal-chilla.jpg,Light & Savory
Sooji Halwa,"semolina, sugar, ghee, water, cardamom, cashews, raisins",5 minutes,15 minutes,Dessert,North Indian,"Heat ghee and roast semolina until golden and fragrant. | Add hot water carefully. | Add sugar and cook until thick. | Add cardamom, cashews and raisins. | Serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/2014/03/suji-halwa-recipe-500x500.jpg,Sweet & Aromatic
Gulab Jamun,"khoya, maida, baking soda, sugar, cardamom, rose water, oil",20 minutes,30 minutes,Dessert,North Indian,"Mix khoya, maida and baking soda into soft dough. | Shape into small balls. | Deep fry on low heat until golden brown. | Soak in cardamom and rose water sugar syrup. | Serve warm.",https://www.vegrecipesofindia.com/wp-content/uploads/2014/10/gulab-jamun-recipe-500x500.jpg,Sweet & Syrupy
Kheer,"rice, milk, sugar, cardamom, saffron, cashews, almonds, raisins, rose water",5 minutes,45 minutes,Dessert,North Indian,"Cook rice in milk on low heat stirring frequently. | Add sugar and simmer until thick. | Add cardamom, saffron and rose water. | Garnish with dry fruits. | Serve warm or chilled.",https://www.vegrecipesofindia.com/wp-content/uploads/2014/10/rice-kheer-recipe-500x500.jpg,Sweet & Creamy
Rabri,"full fat milk, sugar, cardamom, saffron, pistachios, almonds",5 minutes,60 minutes,Dessert,Uttar Pradesh,"Boil milk in wide pan. | Keep simmering on low heat. | Collect cream forming on sides. | Add sugar, cardamom and saffron. | Cook until thick and creamy. | Garnish with nuts and serve.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/10/rabri-recipe.jpg,Sweet & Rich
Shrikhand,"hung curd, sugar, cardamom, saffron, pistachios, almonds",8 hours (straining),0 minutes,Dessert,Gujarat,"Hang curd in muslin cloth overnight. | Mix hung curd with sugar, cardamom and saffron. | Blend until smooth. | Garnish with nuts and serve chilled.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/09/shrikhand-recipe.jpg,Sweet & Creamy
Puran Poli,"wheat flour, chana dal, jaggery, cardamom, turmeric, ghee, oil",30 minutes,30 minutes,Dessert,Maharashtra,"Cook chana dal until soft and drain excess water. | Mix with jaggery and cook until thick, add cardamom and nutmeg. | Cool the puran filling completely. | Make soft dough with wheat flour and rest. | Stuff generous portions of puran into dough balls. | Roll gently into flat rotis. | Cook on tawa with ghee until golden on both sides.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/03/puran-poli-recipe.jpg,Sweet & Aromatic
Modak,"rice flour, coconut, jaggery, cardamom, ghee",30 minutes,20 minutes,Dessert,Maharashtra,"Mix rice flour with hot water and knead to a smooth dough. | Make filling with fresh coconut and jaggery, cooked until thick. | Add cardamom and nutmeg to filling. | Take small dough portions and flatten into cups. | Fill with coconut mixture and gather edges to form a peak. | Steam modaks for 10-12 minutes. | Serve warm with ghee.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/09/modak-recipe.jpg,Sweet & Coconuty
Basundi,"full fat milk, sugar, cardamom, saffron, almonds, pistachios",5 minutes,60 minutes,Dessert,Gujarat,"Boil milk and reduce on low heat. | Stir frequently until thick. | Add sugar, cardamom and saffron. | Simmer briefly. | Garnish with chopped nuts. | Serve warm or cold.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/09/basundi-recipe.jpg,Sweet & Creamy
Malpua,"maida, khoya, sugar, fennel seeds, cardamom, saffron, oil, rose water",15 minutes,25 minutes,Dessert,Rajasthan,"Make batter with maida, milk, fennel seeds and cardamom. | Add a pinch of baking powder and rest for 30 minutes. | Prepare thin sugar syrup and keep warm. | Fry ladlefuls of batter in ghee until golden on both sides. | Dip hot malpuas in sugar syrup for 2 minutes. | Remove and arrange on a plate. | Serve warm topped with rabri.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/03/malpua-recipe.jpg,Sweet & Aromatic
Rasgulla,"chenna (fresh paneer), sugar, rose water, cardamom",20 minutes,30 minutes,Dessert,West Bengal,"Curdle full fat milk and strain chenna through muslin. | Hang for 30 minutes then knead until smooth and soft. | Make small smooth balls without cracks. | Prepare thin sugar syrup in a wide pan and bring to boil. | Drop chenna balls in boiling syrup and cover. | Cook on medium-high heat for 15 minutes until doubled. | Cool and refrigerate, serve chilled in syrup.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/09/rasgulla-recipe.jpg,Sweet & Spongy
Sandesh,"chenna, sugar, cardamom, saffron, pistachios",20 minutes,15 minutes,Dessert,West Bengal,"Curdle milk and drain chenna thoroughly. | Knead chenna until very smooth and soft. | Cook in a heavy pan on low flame with sugar, stirring constantly. | Add cardamom powder and cook until it leaves sides of pan. | Shape into desired forms using moulds or by hand. | Decorate with pistachio slivers and saffron. | Chill before serving.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/09/sandesh-recipe.jpg,Delicately Sweet
Mishti Doi,"full fat milk, yogurt culture, jaggery or sugar",10 minutes,30 minutes,Dessert,West Bengal,Boil full fat milk and reduce to three-quarters quantity. | Add sugar and stir until dissolved. | Add date palm jaggery for flavour and colour. | Cool mixture to lukewarm temperature. | Mix in yogurt culture and stir well. | Pour into earthen pots and cover. | Set in a warm place overnight and refrigerate to serve.,https://www.vegrecipesofindia.com/wp-content/uploads/2021/09/mishti-doi-recipe.jpg,Sweet & Creamy
Payasam,"vermicelli, milk, sugar, cardamom, cashews, raisins, ghee, saffron",5 minutes,20 minutes,Dessert,Tamil Nadu,"Roast vermicelli in ghee. | Add milk and cook until soft. | Add sugar, cardamom and saffron. | Fry cashews and raisins in ghee and add. | Serve warm or chilled.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/09/semiya-payasam-recipe.jpg,Sweet & Creamy
Kesari,"semolina, sugar, ghee, water, saffron, cardamom, cashews, raisins",5 minutes,15 minutes,Dessert,Tamil Nadu,"Heat ghee and roast semolina. | Add hot water and saffron and cook. | Add sugar and stir until thick. | Add cardamom, cashews and raisins. | Serve warm.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/09/kesari-recipe.jpg,Sweet & Aromatic
Moong Dal Halwa,"moong dal, ghee, sugar, milk, cardamom, saffron, cashews, almonds",4 hours (soaking),60 minutes,Dessert,Rajasthan,"Soak and grind moong dal. | Roast in ghee until golden and fragrant. | Add milk gradually and cook. | Add sugar, cardamom and saffron. | Garnish with nuts. | Serve warm.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/01/moong-dal-halwa-recipe.jpg,Rich & Sweet
Besan Ladoo,"besan, ghee, sugar, cardamom, cashews",10 minutes,30 minutes,Dessert,North Indian,"Dry roast besan in ghee on low flame, stirring continuously. | Cook until it turns golden and aromatic, about 20 minutes. | Remove from heat and add powdered sugar when slightly cooled. | Add cardamom powder and chopped cashews. | Mix well and while still slightly warm, form into round balls. | Press firmly so they hold shape. | Cool completely before storing.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/09/besan-ladoo-recipe.jpg,Sweet & Nutty
Coconut Ladoo,"desiccated coconut, condensed milk, cardamom, pistachios",10 minutes,10 minutes,Dessert,South Indian,Dry roast desiccated coconut lightly until fragrant. | Mix with condensed milk in a pan on low heat. | Stir continuously until the mixture leaves the sides of the pan. | Add cardamom powder and mix well. | Cool slightly until manageable. | Grease palms with ghee and roll into smooth balls. | Roll in fresh coconut and refrigerate.,https://www.vegrecipesofindia.com/wp-content/uploads/2021/09/coconut-ladoo-recipe.jpg,Sweet & Coconuty
Motichoor Ladoo,"besan, sugar, cardamom, saffron, ghee, pistachios",20 minutes,30 minutes,Dessert,North Indian,"Make thin batter with besan and water, adding food colour. | Press batter through a perforated ladle into hot oil to make tiny boondi. | Fry until just cooked but not crispy. | Drain and add to warm sugar syrup with cardamom. | Let soak until soft then crush gently. | Add melon seeds and mix. | Shape into round ladoos while mixture is warm.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/09/motichoor-ladoo-recipe.jpg,Sweet & Fragrant
Til Ladoo,"sesame seeds, jaggery, peanuts, cardamom, ghee",10 minutes,15 minutes,Dessert,Maharashtra,"Roast sesame seeds and peanuts. | Melt jaggery and cook until sticky. | Remove from heat and add sesame, peanuts and cardamom. | Quickly shape into laddus before cooling. | Store at room temperature.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/01/til-ladoo-recipe.jpg,Sweet & Nutty
Churma Ladoo,"wheat flour, jaggery, ghee, cardamom, almonds, raisins",20 minutes,30 minutes,Dessert,Rajasthan,"Prepare stiff wheat dough. | Shape into baatis and bake or fry until golden. | Crush baatis to coarse crumbs. | Mix with melted jaggery, ghee, cardamom and dry fruits. | Shape into laddus and cool.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/09/churma-ladoo-recipe.jpg,Sweet & Wholesome
Peda,"khoya (mawa), sugar, cardamom, saffron, pistachios",5 minutes,20 minutes,Dessert,Uttar Pradesh,Boil full fat milk and simmer on low flame stirring continuously. | Add khoya and continue stirring until very thick. | Add sugar and cook until mixture forms a soft dough consistency. | Flavor with cardamom powder and saffron. | Remove from heat and cool slightly. | Shape into flat round discs. | Press a pistachio on top of each peda.,https://www.vegrecipesofindia.com/wp-content/uploads/2021/09/peda-recipe.jpg,Sweetly Rich
Barfi,"khoya, sugar, cardamom, food colour, silver leaf, pistachios",5 minutes,25 minutes,Dessert,North Indian,Grate or crumble khoya and cook in a pan on low flame. | Add sugar and stir continuously until sugar melts. | Cook until mixture thickens and leaves sides of pan. | Add cardamom powder and mix. | Pour into a greased tray and spread evenly. | Decorate with silver foil and pistachio. | Cool completely and cut into diamond shapes.,https://www.vegrecipesofindia.com/wp-content/uploads/2021/09/barfi-recipe.jpg,Sweet & Milky
Coconut Barfi,"desiccated coconut, condensed milk, cardamom, ghee, food colour",10 minutes,20 minutes,Dessert,South Indian,Mix desiccated coconut with condensed milk in a pan. | Cook on low flame stirring constantly. | Add cardamom powder and rose water. | Cook until mixture is thick and leaves the pan. | Pour into a greased tray and spread evenly. | Let cool at room temperature until set. | Cut into squares and garnish with pistachio.,https://www.vegrecipesofindia.com/wp-content/uploads/2021/09/coconut-barfi-recipe.jpg,Sweet & Coconuty
Kaju Katli,"cashews, sugar, water, cardamom, silver leaf",15 minutes,20 minutes,Dessert,North Indian,"Grind cashews to fine powder. | Make sugar syrup to one-string consistency. | Add cashew powder and mix. | Cook until thick. | Spread thin on greased surface. | Cool, apply silver leaf and cut into diamonds.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/09/kaju-katli-recipe.jpg,Delicately Sweet
Halwa Puri,"wheat flour, sooji, sugar, ghee, cardamom, puri oil",20 minutes,30 minutes,Breakfast,Punjab,"Prepare sooji halwa with ghee, sugar and cardamom. | Knead wheat flour into stiff dough. | Roll small circles and deep fry until puffed. | Serve hot puri with warm halwa and chana.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/03/halwa-puri-recipe.jpg,Sweet & Savory
Aloo Puri,"wheat flour, oil, potato, cumin, fennel, turmeric, garam masala, salt",20 minutes,30 minutes,Breakfast,North Indian,"Boil and grate potatoes. | Mix with wheat flour, spices, carom seeds and salt. | Knead into a stiff dough without adding water. | Rest the dough for 20 minutes. | Divide and roll into small puris. | Deep fry in hot oil until puffed and golden. | Serve hot with pickle and yogurt.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/03/aloo-puri-recipe.jpg,Savory & Comforting
Bhatura,"maida, yogurt, baking powder, oil, salt, sugar",2 hours (resting),20 minutes,Breakfast,Punjab,"Mix maida with yogurt, baking powder, sugar and salt. | Knead into soft dough. | Rest for 2 hours. | Roll into oval shapes. | Deep fry until puffed and golden. | Serve hot with chole.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/03/bhatura-recipe.jpg,Soft & Savory
Luchi,"maida, oil, salt",15 minutes,15 minutes,Breakfast,West Bengal,Mix maida with salt and a little oil. | Knead to a smooth and pliable dough using warm water. | Rest the dough covered for 30 minutes. | Divide into small balls and roll into thin circles. | Deep fry in hot oil until they puff up. | Turn once and fry until pale golden. | Serve immediately with cholar dal or aloo dum.,https://www.vegrecipesofindia.com/wp-content/uploads/2021/03/luchi-recipe.jpg,Soft & Mild
Bedmi Puri,"wheat flour, urad dal, fennel seeds, cumin, asafoetida, red chilli, oil, salt",30 minutes,20 minutes,Breakfast,Uttar Pradesh,"Make dough with wheat flour and rest for 30 minutes. | Prepare filling with coarsely ground urad dal, fennel and spices. | Stuff dough balls with filling and seal. | Roll gently into small puris. | Deep fry in hot oil until puffed and golden. | Drain well and serve hot. | Accompany with aloo sabzi and pickle.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/03/bedmi-puri-recipe.jpg,Spiced & Savory
Palak Paratha,"wheat flour, spinach puree, ginger, green chilli, carom seeds, oil, salt",20 minutes,20 minutes,Breakfast,North Indian,"Blanch and puree spinach. | Mix with flour, ginger, chilli and ajwain. | Knead into smooth dough. | Roll into parathas and cook on tawa with oil. | Serve hot with curd and pickle.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/04/palak-paratha-recipe.jpg,Mild & Savory
Aloo Paratha,"wheat flour, potato, green chilli, ginger, coriander, ajwain, oil, salt",20 minutes,20 minutes,Breakfast,Punjab,"Prepare spiced mashed potato filling. | Knead wheat flour dough. | Stuff dough with filling and roll. | Cook on tawa with oil until golden on both sides. | Serve with butter, curd and pickle.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/04/aloo-paratha-recipe.jpg,Spiced & Savory
Gobi Paratha,"wheat flour, cauliflower, ginger, green chilli, coriander, ajwain, oil, salt",20 minutes,20 minutes,Breakfast,Punjab,"Grate cauliflower and mix with ginger, chilli, coriander and salt. | Knead wheat flour dough. | Stuff with cauliflower mixture and roll. | Cook on tawa with oil until golden. | Serve with butter and pickle.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/04/gobi-paratha-recipe.jpg,Spiced & Savory
Paneer Paratha,"wheat flour, paneer, green chilli, ginger, coriander, cumin, oil, salt",20 minutes,20 minutes,Breakfast,Punjab,"Grate paneer and mix with spices, green chilli and coriander. | Make smooth wheat dough and rest for 30 minutes. | Roll a portion of dough into a small disc. | Place paneer filling and seal edges. | Roll gently into a flat paratha. | Cook on hot tawa with ghee until golden spots appear. | Serve with yogurt and pickle.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/04/paneer-paratha-recipe.jpg,Rich & Savory
Methi Paratha,"wheat flour, fresh fenugreek leaves, ginger, green chilli, ajwain, oil, salt",15 minutes,20 minutes,Breakfast,Gujarat,"Mix finely chopped methi with flour, ginger, chilli and ajwain. | Add water and knead into dough. | Roll into parathas and cook on tawa. | Apply oil and cook until golden on both sides. | Serve with curd.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/04/methi-paratha-recipe.jpg,Bitter & Spiced
Mooli Paratha,"wheat flour, white radish, green chilli, ginger, ajwain, coriander, oil, salt",20 minutes,20 minutes,Breakfast,Punjab,"Grate radish and squeeze out excess water. | Mix with spices, green chilli and coriander. | Make soft wheat dough and rest for 20 minutes. | Roll dough into circles and place filling. | Seal and roll gently into parathas. | Cook on tawa with generous ghee until golden. | Serve hot with butter and yogurt.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/04/mooli-paratha-recipe.jpg,Pungent & Savory
Dal Paratha,"wheat flour, cooked chana dal, ginger, green chilli, cumin, coriander, oil, salt",20 minutes,20 minutes,Breakfast,North Indian,"Soak and cook chana dal until soft then drain. | Mash and season with spices, cumin and dry mango powder. | Make wheat dough and rest for 30 minutes. | Stuff dough balls with spiced dal filling. | Roll into flat parathas. | Cook on tawa with ghee until golden and cooked through. | Serve with raita and pickle.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/04/dal-paratha-recipe.jpg,Hearty & Savory
Laal Maas (Veg),"mixed vegetables, mathania red chillies, yogurt, onion, garlic, oil, salt",20 minutes,35 minutes,Main Course,Rajasthan,Soak dried red Mathania chillies and grind to a paste. | Heat oil and fry whole spices. | Add onions and cook until dark brown. | Add ginger-garlic paste and red chilli paste. | Cook until oil separates. | Add mixed vegetables and coat well with masala. | Add water and simmer until vegetables are tender.,https://www.vegrecipesofindia.com/wp-content/uploads/laal-maas-veg.jpg,Fiery & Smoky
Bati,"whole wheat flour, semolina, ghee, carom seeds, baking soda, salt",30 minutes,40 minutes,Main Course,Rajasthan,"Mix flour, rava, ghee, ajwain and salt. | Add water to make stiff dough. | Shape into round balls. | Bake in oven or over fire until golden. | Dip in melted ghee and serve with dal.",https://www.vegrecipesofindia.com/wp-content/uploads/bati-recipe.jpg,Earthy & Buttery
Bajre Ki Roti,"bajra (pearl millet) flour, water, salt, ghee",10 minutes,15 minutes,Main Course,Rajasthan,Mix bajra flour with salt and warm water. | Knead into a stiff dough and divide into portions. | Pat each portion into a flat roti using wet hands. | Place on a hot dry tawa and cook on one side. | Flip and cook the other side pressing gently. | Apply ghee generously and serve hot. | Serve with sarson ka saag or any dal.,https://www.vegrecipesofindia.com/wp-content/uploads/bajra-roti-recipe.jpg,Earthy & Mild
Makki Di Roti,"maize flour (makki), salt, water, ghee",10 minutes,15 minutes,Main Course,Punjab,Mix maize flour with salt and knead with warm water. | The dough will be slightly rough in texture. | Take a portion and pat into a flat roti with hands or between plastic sheets. | Place on hot tawa and cook on medium flame. | Flip carefully and cook other side. | Apply butter generously. | Serve hot with sarson ka saag.,https://www.vegrecipesofindia.com/wp-content/uploads/makki-di-roti-recipe.jpg,Earthy & Mild
Sarson Da Saag,"mustard greens, spinach, bathua, ginger, garlic, green chilli, makki flour, ghee, salt",15 minutes,45 minutes,Main Course,Punjab,"Cook mustard greens with spinach and bathua. | Blend coarsely. | Saut̩ ginger, garlic and chilli in ghee. | Add blended greens and makki flour. | Simmer on low heat. | Serve with makki di roti and white butter.",https://www.vegrecipesofindia.com/wp-content/uploads/sarson-saag-recipe.jpg,Earthy & Robust
Bhindi Ki Kadhi,"okra, buttermilk, besan, turmeric, red chilli, mustard seeds, curry leaves, oil, salt",10 minutes,25 minutes,Main Course,Gujarat,"Slice okra and shallow fry until crispy and set aside. | Make kadhi batter with besan and yogurt. | Heat oil and add mustard seeds, curry leaves and dry red chilli. | Add besan-yogurt mixture and cook stirring continuously. | Add water to adjust consistency and bring to a gentle boil. | Add fried okra and simmer for 5 minutes. | Serve hot with rice.",https://www.vegrecipesofindia.com/wp-content/uploads/bhindi-kadhi-recipe.jpg,Tangy & Savory
Suran Sabzi,"yam (suran), onion, tomato, turmeric, coriander powder, red chilli, oil, salt",15 minutes,30 minutes,Main Course,Maharashtra,Peel yam wearing gloves and cut into cubes. | Boil in salted water with tamarind until tender. | Heat oil and add mustard seeds and curry leaves. | Add onion and cook until golden. | Add tomato and spices and cook well. | Add boiled yam and mix. | Cook for 5 more minutes and serve.,https://www.vegrecipesofindia.com/wp-content/uploads/suran-sabzi-recipe.jpg,Mild & Earthy
Koottu,"raw banana, black chickpeas, grated coconut, cumin, pepper, red chilli, curry leaves, oil, salt",20 minutes,25 minutes,Main Course,Kerala,"Cook raw banana and chickpeas. | Grind coconut with cumin, pepper and chilli. | Mix into cooked vegetables. | Temper with oil and curry leaves. | Serve with rice.",https://www.vegrecipesofindia.com/wp-content/uploads/koottu-recipe.jpg,Earthy & Coconuty
Thoran,"green beans, grated coconut, mustard seeds, curry leaves, turmeric, green chilli, oil, salt",10 minutes,15 minutes,Main Course,Kerala,"Chop beans finely. | Heat oil, add mustard seeds and curry leaves. | Add beans, turmeric, chilli and salt. | Cover and cook on low heat. | Add coconut and mix. | Serve warm.",https://www.vegrecipesofindia.com/wp-content/uploads/thoran-recipe.jpg,Light & Coconuty
Olan,"ash gourd, cowpeas, coconut milk, coconut oil, curry leaves, green chilli, salt",15 minutes,25 minutes,Main Course,Kerala,"Cook ash gourd and cowpeas until tender. | Add coconut milk and simmer. | Add curry leaves, green chilli and coconut oil. | Cook briefly and serve warm.",https://www.vegrecipesofindia.com/wp-content/uploads/olan-recipe.jpg,Mild & Creamy
Erissery,"pumpkin, black-eyed peas, grated coconut, cumin, turmeric, red chilli, curry leaves, oil, salt",15 minutes,30 minutes,Main Course,Kerala,"Boil pumpkin or raw plantain until tender. | Make a paste of coconut, cumin and garlic. | Add coconut paste to cooked vegetables. | Season with salt and turmeric. | Prepare tempering with coconut oil, mustard seeds and curry leaves. | Add dried red chilli and grated coconut and fry until brown. | Pour tempering over curry and mix.",https://www.vegrecipesofindia.com/wp-content/uploads/erissery-recipe.jpg,Earthy & Coconuty
Pulissery,"ripe mango, yogurt, grated coconut, cumin, turmeric, green chilli, mustard seeds, curry leaves, oil, salt",10 minutes,15 minutes,Main Course,Kerala,"Blend coconut, cumin, green chilli and turmeric to a smooth paste. | Mix coconut paste with yogurt. | Add pieces of ripe mango or vegetables. | Cook on low flame stirring gently without boiling. | Season with salt. | Prepare tempering with coconut oil, mustard seeds, curry leaves and red chilli. | Pour tempering and serve immediately.",https://www.vegrecipesofindia.com/wp-content/uploads/pulissery-recipe.jpg,Tangy & Mild
Sambar,"toor dal, mixed vegetables, tamarind, sambar powder, tomatoes, mustard seeds, curry leaves, oil, salt",15 minutes,30 minutes,Main Course,Tamil Nadu,"Cook toor dal until soft. | Add vegetables, tamarind and sambar powder. | Simmer until vegetables are cooked. | Temper mustard seeds and curry leaves. | Mix and serve hot with rice.",https://www.vegrecipesofindia.com/wp-content/uploads/sambar-recipe.jpg,Tangy & Spicy
Rasam,"toor dal water, tomato, tamarind, rasam powder, pepper, cumin, garlic, curry leaves, oil, salt",10 minutes,15 minutes,Soup,Tamil Nadu,"Boil tamarind with tomatoes. | Add rasam powder, pepper, cumin and garlic. | Add dal water and simmer. | Temper mustard seeds and curry leaves. | Garnish with coriander and serve.",https://www.vegrecipesofindia.com/wp-content/uploads/rasam-recipe.jpg,Tangy & Peppery
Kootu,"raw plantain, chana dal, grated coconut, cumin, black pepper, turmeric, mustard seeds, curry leaves, oil, salt",15 minutes,25 minutes,Main Course,Tamil Nadu,"Cook plantain and dal together. | Grind coconut, cumin and pepper. | Mix paste into cooked vegetables. | Simmer briefly. | Temper mustard seeds and curry leaves. | Serve with rice.",https://www.vegrecipesofindia.com/wp-content/uploads/kootu-recipe.jpg,Mild & Earthy
Mor Kuzhambu,"yogurt, grated coconut, cumin, green chilli, turmeric, ginger, mustard seeds, curry leaves, oil, salt",10 minutes,15 minutes,Main Course,Tamil Nadu,"Grind coconut with cumin, chilli and ginger. | Mix with yogurt and turmeric. | Heat and stir until warm. | Temper mustard seeds and curry leaves. | Add to yogurt mixture. | Serve with rice.",https://www.vegrecipesofindia.com/wp-content/uploads/mor-kuzhambu-recipe.jpg,Tangy & Mild
Vatha Kuzhambu,"sundakkai (turkey berry), tamarind, sambar powder, sesame oil, mustard seeds, curry leaves, fenugreek, salt",10 minutes,25 minutes,Main Course,Tamil Nadu,"Extract tamarind water. | Heat sesame oil and temper mustard seeds, curry leaves and fenugreek. | Add sundakkai and fry. | Add tamarind water and sambar powder. | Simmer until thick and oil floats. | Serve with rice.",https://www.vegrecipesofindia.com/wp-content/uploads/vatha-kuzhambu-recipe.jpg,Tangy & Pungent
